,municipio_id_sus,nome,uf_sigla,periodo_codigo,indicadores_nome,peso,nota_porcentagem,meta,nota
0,500085,Angélica,MS,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,43,50.0,8.6
1,260030,Agrestina,PE,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,13,50.0,2.6
2,293010,Senhor do Bonfim,BA,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,79,50.0,10.0
3,171865,Rio da Conceição,TO,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,3,50.0,0.6
4,520020,Água Limpa,GO,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,2,50.0,0.4
5,220885,Riacho Frio,PI,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,1,50.0,0.2
6,431360,Paim Filho,RS,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,1,50.0,0.2
7,411700,Nova Fátima,PR,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,1,50.0,0.2
8,432147,Tiradentes do Sul,RS,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,1,50.0,0.2
9,130180,Ipixuna,AM,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,1,50.0,0.2
10,352380,Itobi,SP,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,1,50.0,0.2
11,313690,Juruaia,MG,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,4,50.0,0.8
12,510715,Reserva do Cabaçal,MT,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,25,50.0,5.0
13,421085,Mirim Doce,SC,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,18,50.0,3.5999999999999996
14,420980,Leoberto Leal,SC,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,17,50.0,3.4000000000000004
15,311490,Casa Grande,MG,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,16,50.0,3.2
16,354440,Rubiácea,SP,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,13,50.0,2.6
17,312720,Funilândia,MG,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,8,50.0,1.6
18,350140,Álvaro de Carvalho,SP,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,6,50.0,1.2
19,317057,Vargem Alegre,MG,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,6,50.0,1.2
20,420780,Irani,SC,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,5,50.0,1.0
21,354190,Queluz,SP,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,5,50.0,1.0
22,280070,Brejo Grande,SE,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,5,50.0,1.0
23,316380,São Miguel do Anta,MG,2022.Q3,Diabetes (Hemoglobina Glicada),1.0,5,50.0,1.0
24,421550,Santa Cecília,SC,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
25,432235,União da Serra,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
26,431046,Ipiranga do Sul,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
27,521225,Lagoa Santa,GO,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
28,316660,Serra da Saudade,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
29,350040,Águas da Prata,SP,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
30,431700,Santana da Boa Vista,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
31,314040,Marmelópolis,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
32,317210,Volta Grande,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
33,316810,Tapira,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
34,354810,Santo Antônio do Jardim,SP,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
35,521940,Santa Rita do Araguaia,GO,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
36,431695,Santa Maria do Herval,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
37,315610,Ritápolis,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
38,410670,Cruzeiro do Sul,PR,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
39,240870,Paraú,RN,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
40,412863,Doutor Ulysses,PR,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
41,411100,Itambaracá,PR,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
42,210667,Milagres do Maranhão,MA,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
43,430090,Aratiba,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
44,354210,Rafard,SP,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
45,430490,Casca,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
46,412050,Primeiro de Maio,PR,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
47,310770,Bom Jesus do Amparo,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
48,432218,Tupanci do Sul,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
49,431517,Protásio Alves,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
50,430925,Guabiju,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
51,310310,Antônio Prado de Minas,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
52,430461,Canudos do Vale,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
53,350115,Alumínio,SP,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
54,412865,Virmond,PR,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
55,412175,Reserva do Iguaçu,PR,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
56,330530,São Sebastião do Alto,RJ,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
57,350995,Canas,SP,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
58,350310,Arandu,SP,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
59,310180,Alpercata,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
60,311787,Confins,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
61,350960,Campo Limpo Paulista,SP,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
62,330090,Cambuci,RJ,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
63,240670,Lajes,RN,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
64,314780,Passa-Vinte,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
65,430825,Floriano Peixoto,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
66,310330,Aracitaba,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
67,350335,Arco-Íris,SP,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
68,431755,Santo Antônio do Palma,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
69,353100,Monções,SP,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
70,431697,Santa Margarida do Sul,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
71,430192,Barra do Rio Azul,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
72,220669,Murici dos Portelas,PI,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
73,354075,Potim,SP,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
74,410110,Andirá,PR,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
75,312460,Estrela Dalva,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
76,431973,São Valério do Sul,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
77,431235,Montauri,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
78,311560,Cedro do Abaeté,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
79,315380,Queluzito,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
80,354720,Santana da Ponte Pensa,SP,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
81,316560,Senador Cortes,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
82,431087,Jacuizinho,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
83,411710,Nova Londrina,PR,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
84,315390,Raposos,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
85,421085,Mirim Doce,SC,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
86,431171,Maçambará,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
87,431673,Santa Cecília do Sul,RS,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
88,311470,Carvalhópolis,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
89,315860,Santana do Deserto,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
90,315620,Rochedo de Minas,MG,2022.Q3,Pré-Natal (6 consultas),1.0,0,45.0,0.0
